Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2016-07-06,1,18.4278,17.0949,18.0138,4.2251
2016-07-07,2,22.4283,19.5994,16.5213,2.5045
2016-07-08,3,17.0605,15.2417,17.3120,-4.3576
2016-07-09,4,22.4604,20.2237,18.3549,4.9819
2016-07-10,5,25.6594,22.4240,19.2965,2.2003
