Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2012-06-27,1,20.0825,16.6517,15.1867,-2.2340
2012-06-28,2,17.3726,16.4961,17.3445,-0.1556
2012-06-29,3,23.6784,20.7904,17.9794,4.2943
2012-06-30,4,15.3261,12.8930,16.7265,-7.8974
2012-07-01,5,22.6465,20.9440,18.2091,8.0510
