Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2014-08-12,1,26.8747,23.8210,24.6609,3.1694
2014-08-13,2,21.8056,16.2657,20.2461,-7.5553
2014-08-14,3,22.5760,18.1877,19.4248,1.9220
2014-08-15,4,19.7450,16.4656,16.9730,-1.7221
2014-08-16,5,24.2674,19.5828,18.0787,3.1172
2014-08-17,6,24.0467,21.6283,19.2256,2.0456
