Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2009-08-15,1,28.6511,25.4714,20.5867,7.1012
2009-08-16,2,30.4557,27.8871,23.9096,2.4157
2009-08-17,3,28.7973,26.2244,26.5276,-1.6627
2009-08-18,4,21.3799,19.4032,24.5049,-6.8212
2009-08-19,5,31.1435,27.4585,24.3620,8.0552
2009-08-20,6,32.2190,27.9054,24.9224,0.4470
2009-08-21,7,26.2222,23.7223,26.3621,-4.1831
2009-08-22,8,25.1934,21.9310,24.5196,-1.7913
2009-08-23,9,28.0371,24.4803,23.3779,2.5493
