Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2009-08-15,1,28.5000,25.3846,20.5538,7.0231
2009-08-16,2,30.3000,27.7923,23.8462,2.4077
2009-08-17,3,28.7000,26.1692,26.4487,-1.6231
2009-08-18,4,21.3000,19.3846,24.4487,-6.7846
2009-08-19,5,31.0000,27.3923,24.3154,8.0077
2009-08-20,6,32.1000,27.8077,24.8615,0.4154
2009-08-21,7,26.2000,23.7385,26.3128,-4.0692
2009-08-22,8,25.1000,21.9154,24.4872,-1.8231
2009-08-23,9,28.0000,24.4462,23.3667,2.5308
