Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2014-08-12,1,26.8000,23.7692,24.6282,3.1077
2014-08-13,2,21.8000,16.2769,20.2359,-7.4923
2014-08-14,3,22.5000,18.1615,19.4026,1.8846
2014-08-15,4,19.7000,16.4615,16.9667,-1.7000
2014-08-16,5,24.2000,19.5462,18.0564,3.0846
2014-08-17,6,23.9000,21.5692,19.1923,2.0231
