Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2013-08-10,1,31.8000,29.6846,29.1154,0.0538
2013-08-11,2,32.3000,30.0462,29.7872,0.3615
2013-08-12,3,28.8000,26.0923,28.6077,-3.9538
2013-08-13,4,28.9000,27.0231,27.7205,0.9308
2013-08-14,5,26.8000,24.3000,25.8051,-2.7231
2013-08-15,6,21.1000,18.6846,23.3359,-5.6154
2013-08-16,7,23.8000,21.6846,21.5564,3.0000
2013-08-17,8,27.2000,24.6462,21.6718,2.9615
2013-08-18,9,27.5000,25.5231,23.9513,0.8769
