Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2012-06-27,1,20.1000,16.6385,15.1923,-2.2462
2012-06-28,2,17.3000,16.4846,17.3359,-0.1538
2012-06-29,3,23.6000,20.7615,17.9615,4.2769
2012-06-30,4,15.3000,12.8769,16.7077,-7.8846
2012-07-01,5,22.6000,20.9231,18.1872,8.0462
