Date,Day,Daily maximum UTCI [˚C],Daily mean UTCI [˚C],3-day mean UTCI [˚C],daily difference mean UTCI [˚C]
2018-08-06,1,33.6000,29.8769,28.8538,4.8000
2018-08-07,2,36.5000,32.9308,29.2949,3.0538
2018-08-08,3,37.1000,33.5000,32.1026,0.5692
2018-08-09,4,36.8000,33.3538,33.2615,-0.1462
2018-08-10,5,25.6000,21.3923,29.4154,-11.9615
2018-08-11,6,21.5000,19.1385,24.6282,-2.2538
2018-08-12,7,29.6000,25.7385,22.0897,6.6000
